               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.032006,            0.049815,          0.00099297,             0.98123,              0.9705,             0.99159,             0.87838,            0.014579,            0.027115,          0.00019217,            0.002872,            0.002872,            0.002872
                 110,            0.031797,            0.050444,          0.00091881,              0.9816,             0.97824,             0.98918,              0.8833,            0.014586,            0.026505,          0.00030596,            0.002806,            0.002806,            0.002806
                 111,            0.031886,            0.051609,          0.00081887,             0.98661,             0.97886,             0.99316,             0.87899,            0.014699,            0.025892,          0.00022458,             0.00274,             0.00274,             0.00274
                 112,            0.032025,            0.051906,          0.00086355,             0.98233,             0.98856,               0.994,             0.88145,            0.014592,            0.025613,          0.00013706,            0.002674,            0.002674,            0.002674
                 113,              0.0317,             0.05131,          0.00080784,             0.99076,             0.97407,             0.99338,             0.88457,              0.0145,            0.026011,          0.00019875,            0.002608,            0.002608,            0.002608
                 114,             0.03214,            0.049644,          0.00087183,             0.98077,             0.98754,             0.99443,             0.88936,            0.014282,            0.025633,           0.0001053,            0.002542,            0.002542,            0.002542
                 115,            0.031309,            0.050557,          0.00086963,             0.98795,             0.97684,             0.99243,               0.888,            0.014342,            0.025218,          0.00014539,            0.002476,            0.002476,            0.002476
                 116,            0.031507,            0.050763,          0.00087529,             0.96382,             0.98772,             0.99233,             0.88105,            0.014475,             0.02631,          0.00015522,             0.00241,             0.00241,             0.00241
                 117,            0.031965,            0.049472,          0.00094392,             0.98514,              0.9916,             0.99449,             0.88049,            0.014329,             0.02541,          9.3639e-05,            0.002344,            0.002344,            0.002344
                 118,            0.031643,            0.050413,          0.00081214,             0.98796,             0.97879,             0.99347,             0.89504,             0.01432,            0.026092,          0.00017084,            0.002278,            0.002278,            0.002278
                 119,            0.031146,            0.049401,          0.00074974,             0.98869,              0.9792,             0.99306,             0.88649,            0.014387,            0.025294,          0.00017352,            0.002212,            0.002212,            0.002212
                 120,            0.030811,            0.049795,          0.00076382,             0.98521,             0.97702,             0.99245,             0.89418,              0.0143,            0.025564,          0.00010587,            0.002146,            0.002146,            0.002146
                 121,            0.031134,            0.049641,          0.00074288,             0.98257,             0.97898,             0.99284,              0.8857,            0.014191,            0.025886,          0.00014034,             0.00208,             0.00208,             0.00208
                 122,            0.031496,             0.05029,          0.00080147,             0.98061,             0.98555,              0.9903,             0.88983,            0.014226,            0.026039,          0.00024179,            0.002014,            0.002014,            0.002014
                 123,             0.03071,            0.049685,          0.00071022,              0.9878,             0.98305,              0.9942,             0.88817,            0.014251,            0.025746,          6.5883e-05,            0.001948,            0.001948,            0.001948
                 124,            0.031013,            0.050515,          0.00084584,             0.99242,             0.99369,             0.99434,             0.89332,             0.01416,             0.02483,          6.1132e-05,            0.001882,            0.001882,            0.001882
                 125,            0.031618,            0.051289,          0.00083663,             0.98953,             0.98062,             0.99412,             0.90645,            0.014246,            0.025985,          5.3272e-05,            0.001816,            0.001816,            0.001816
                 126,             0.03157,            0.050902,          0.00073298,             0.99064,             0.97866,             0.99347,              0.8914,             0.01433,            0.026763,          5.7295e-05,             0.00175,             0.00175,             0.00175
                 127,            0.031204,             0.04947,          0.00067994,              0.9752,             0.98693,             0.99297,             0.89135,            0.014149,            0.025643,          8.5463e-05,            0.001684,            0.001684,            0.001684
                 128,            0.031032,            0.049105,           0.0007701,             0.98286,             0.98295,             0.99259,              0.8891,            0.014148,            0.025812,           0.0001819,            0.001618,            0.001618,            0.001618
                 129,            0.031003,            0.050597,          0.00070736,             0.98933,             0.98444,             0.99314,             0.90456,            0.013991,            0.024839,          0.00019012,            0.001552,            0.001552,            0.001552
                 130,            0.030264,            0.048991,          0.00069224,             0.99394,             0.98818,             0.99357,             0.89299,            0.013856,            0.023757,          0.00016314,            0.001486,            0.001486,            0.001486
                 131,            0.030753,            0.049781,           0.0007735,              0.9823,             0.98645,             0.99297,             0.89674,            0.013903,            0.025278,           0.0001834,             0.00142,             0.00142,             0.00142
                 132,            0.030939,            0.049344,          0.00080763,             0.98369,             0.98397,             0.99326,               0.893,             0.01414,            0.025315,           0.0001309,            0.001354,            0.001354,            0.001354
                 133,            0.029633,            0.047563,          0.00061727,             0.98271,             0.98596,             0.99319,             0.89976,            0.014015,            0.024931,          0.00014594,            0.001288,            0.001288,            0.001288
                 134,            0.030498,            0.048675,          0.00074922,             0.99131,             0.98596,             0.99412,             0.89747,            0.013972,            0.024975,          0.00010667,            0.001222,            0.001222,            0.001222
                 135,             0.02995,            0.048096,          0.00070302,             0.98595,              0.9782,             0.99325,             0.89349,            0.013983,            0.024981,          0.00014219,            0.001156,            0.001156,            0.001156
                 136,            0.030181,            0.048373,          0.00065021,              0.9814,             0.98599,             0.99293,             0.90368,            0.013871,             0.02527,           0.0001641,             0.00109,             0.00109,             0.00109
                 137,            0.030313,            0.049418,          0.00063989,             0.99298,             0.98468,             0.99355,             0.90302,            0.013847,            0.024819,          0.00015252,            0.001024,            0.001024,            0.001024
